Date,No of Lots,VIX,Max Debit,Exit,Profit,NAV,bn nav,Open,High,Low,Close,Volume,Nifty_pct,Nifty_HOL
18/08/21,10,18.7,157250,2:30:00,-47125,1377724,702724,36222.5,36248.9,35432,35554.5,0,-0.010645003,775261.7365
18/08/21,10,18.7,157250,2:30:00,-47125,1330599,655599,36222.5,36248.9,35432,35554.5,0,0,775261.7365
25/08/21,10,18.1,114175,3:25:00,1600,1332199,657199,35768.85,35910.3,35499.65,35586.25,0,0.000892995,775954.0415
26/08/21,10,18.2,129250,2:30:00,12175,1344374,669374,35485.95,35785.8,35411.8,35617.55,0,0.000879553,776636.5344
01/09/21,10,19.4,111060,3:25:00,18280,1362654,687654,36591.45,36997.7,36487.15,36574.3,0,0.026861758,797498.3568
02/09/21,10,18.4,125300,2:30:00,-6800,1355854,680854,36588.4,36895.55,36469,36831.3,0,0.007026792,803102.2119
08/09/21,10,18.7,89340,3:25:00,5830,1361684,686684,36519.7,36855.9,36393.6,36768.2,0,-0.001713217,801726.3238
09/09/21,10,18.6,107250,2:30:00,20430,1382114,707114,36725.5,36857.2,36566.7,36683.2,0,-0.00231178,799872.9087
15/09/21,10,18,66625,3:25:00,-1410,1380704,705704,36543.55,36949.7,36496.05,36852.25,0,0.004608377,803559.0243
16/09/21,10,18.5,85050,2:30:00,-12970,1367734,692734,36946,37720.15,36907.75,37668.6,0,0.022151972,821359.441
22/09/21,10,24.1,147600,3:25:00,14100,1381834,706834,37277.1,37328.6,36885.6,36944.65,0,-0.019218925,805573.7955
23/09/21,10,21.9,169750,2:30:00,-8600,1373234,698234,37241.25,37830.75,37216.15,37771.7,0,0.022386191,823607.5246
29/09/21,10,24.8,155450,3:25:00,-5125,1368109,693109,37601.1,37923.45,37371.05,37743,0,-0.000759828,822981.7244
30/09/21,10,24.3,178875,2:30:00,10700,1378809,703809,37677.8,37884.85,37354.25,37425.1,0,-0.008422754,816049.9519
06/10/21,10,20.1,103500,3:25:00,-5200,1373609,698609,37768.8,38106.85,37452,37521.55,0,0.002577147,818153.0329
07/10/21,10,20.4,125337,2:30:00,14175,1387784,712784,37894,37923.65,37650.25,37753.2,0,0.006173785,823204.1342
07/10/21,10,20.4,125337,2:30:00,14175,1401959,726959,37894,37923.65,37650.25,37753.2,0,0,823204.1342
13/10/21,10,19.6,67300,3:25:00,16100,1418059,743059,38735.3,38779.05,38502.7,38635.75,0,0.023376826,842448.0343
14/10/21,10,20.7,96125,2:30:00,-20120,1397939,722939,38684.65,39375.05,38673,39340.9,0,0.018251231,857823.748
20/10/21,10,22.5,162000,3:25:00,17450,1415389,740389,39545.45,39774.55,39292.8,39518.2,0,0.00450676,861689.7539
21/10/21,10,22.5,190560,2:30:00,18100,1433489,758489,39676.55,40200.45,39428.1,40030.2,0,0.012956056,872853.8543
27/10/21,10,21.5,150635,3:25:00,5120,1438609,763609,41234.55,41347,40750,40874.35,0,0.021087829,891260.4469
27/10/21,10,21.5,150635,3:25:00,5120,1443729,768729,41234.55,41347,40750,40874.35,0,0,891260.4469
28/10/21,10,21.5,169200,1:40:00,-53600,1390129,715129,40915.15,40931.05,39350.2,39508.95,0,-0.033404813,861488.0587
03/11/21,10,19.8,123450,1:05:00,-42100,1348029,673029,40040.65,40160.2,39304.85,39402.05,0,-0.002705716,859157.1166
10/11/21,10,20.7,68250,3:25:00,14400,1362429,687429,39206.2,39220.3,38873.8,39023.25,0,-0.009613713,850897.4267
11/11/21,10,21.7,91000,2:30:00,21980,1384409,709409,38913.05,38929.95,38346.05,38560.2,0,-0.011866003,840800.6753
17/11/21,10,21.2,125475,3:25:00,17325,1401734,726734,38113.4,38456.3,37981.2,38041.55,0,-0.013450397,829491.5724
18/11/21,10,21.3,148100,2:30:00,27330,1429064,754064,38071.9,38233.95,37748.45,37976.25,0,-0.001716544,828067.7135
24/11/21,10,18.5,115100,3:25:00,15100,1444164,769164,37384.75,37891.9,37238.05,37441.95,0,-0.01406932,816417.3642
25/11/21,10,18.4,134250,2:30:00,17125,1461289,786289,37362.05,37507.95,37118.4,37364.75,0,-0.002061858,814734.0271
01/12/21,10,22.3,118550,3:25:00,21600,1482889,807889,35902.9,36445.35,35805,36364.9,0,-0.026759178,792932.4142
02/12/21,10,23,142250,2:30:00,20130,1503019,828019,36281.85,36563.5,36166.7,36508.25,0,0.003941988,796058.1443
08/12/21,10,21.8,85200,3:25:00,17850,1520869,845869,37052.75,37384.8,36905.15,37284.7,0,0.021267796,812988.5462
09/12/21,10,19.9,108180,2:30:00,23700,1544569,869569,37331.75,37397.55,36884.45,37082.45,0,-0.005424477,808578.5085
15/12/21,10,21.2,67275,3:25:00,5830,1550399,875399,36929.5,37083.5,36743.2,36789.55,0,-0.007898615,802191.8581
16/12/21,10,20.8,82650,2:30:00,-25800,1524599,849599,37092.95,37159.3,36385.75,36548.65,0,-0.006548055,796939.0616
16/12/21,10,20.8,82650,2:30:00,-25800,1498799,823799,37092.95,37159.3,36385.75,36548.65,0,0,796939.0616
22/12/21,10,24.4,147530,3:25:00,2100,1500899,825899,34865.25,35112.1,34687.6,35029.5,0,-0.041565147,763814.1726
23/12/21,10,22.7,166575,2:30:00,-6225,1494674,819674,35350.5,35477.3,35046.25,35191.15,0,0.004614682,767338.932
29/12/21,10,22.17,121200,3:25:00,9800,1504474,829474,35168.85,35378.3,34890.8,35045.4,0,-0.004141666,764160.8702
30/12/21,10,28.3,156650,2:30:00,4875,1509349,834349,34977.65,35179.05,34751.25,35063.6,0,0.000519326,764557.7191
05/01/22,10,22.47,109530,3:25:00,1250,1510599,835599,36943.55,37862.4,36756.35,37695.9,0,0.075072155,821954.7144
05/01/22,10,22.47,109530,3:25:00,1250,1511849,836849,36943.55,37862.4,36756.35,37695.9,0,0,821954.7144
06/01/22,10,23.4,129750,2:30:00,-5900,1505949,830949,37242.55,37752.5,37058.45,37490.25,0,-0.0054555,817470.54
12/01/22,10,24.8,89800,3:25:00,13100,1519049,844049,38719.6,38851.45,38604.6,38727.55,0,0.033003248,844449.7226
13/01/22,10,24,116200,2:30:00,19280,1538329,863329,38717.55,38717.55,38376.15,38469.95,0,-0.006651596,838832.7846
19/01/22,10,23.9,213130,3:25:00,34120,1572449,897449,38145.75,38330.5,37769.25,38041.35,0,-0.011141163,829487.2114
20/01/22,10,23,244430,2:30:00,-4780,1567669,892669,38106.1,38167.95,37591.85,37850.85,0,-0.005007709,825333.3811
27/01/22,10,28.3,209000,2:30:00,-1720,1565949,890949,37058.2,38147.65,37012.25,37982.1,0,0.003467558,828195.2721
02/02/22,10,23.6,106180,3:25:00,17200,1583149,908149,38841.55,39386.6,38752.65,39330.5,0,0.035500933,857596.9772
03/02/22,10,29,138662,2:30:00,26125,1609274,934274,39255.7,39424.85,38861.15,39010,0,-0.008148892,850608.512
09/02/22,10,23.7,87625,3:25:00,8250,1617524,942524,38283.6,38648.15,38192,38610.25,0,-0.010247372,841892.0098
10/02/22,10,23,96175,2:30:00,-1860,1615664,940664,38801.45,39197.2,38520,39010.95,0,0.010378073,850629.2266
16/02/22,10,26.25,179375,3:25:00,2860,1618524,943524,38296.5,38461.7,37762.8,37953.8,0,-0.027098802,827578.1939
17/02/22,10,25.9,198500,2:30:00,38320,1656844,981844,38042.1,38124.5,37425.6,37531.65,0,-0.011122733,818373.2622
23/02/22,10,26.9,195600,3:25:00,10400,1667244,992244,37628.55,37774.6,37318,37392.05,0,-0.003719527,815329.3005
24/02/22,10,29.5,243250,2:30:00,21330,1688574,1013574,36085.2,36709.15,34991.35,35228.1,0,-0.057871927,768144.6224
